ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Regular price","Sale price",Categories,Tags,Images,"Attribute 1 name","Attribute 1 value(s)","Attribute 2 name","Attribute 2 value(s)","Attribute 3 name","Attribute 3 value(s)"
51,simple,ET-1200090202,"تشک یک نفره (جوان) 200 * 90 کامل طبی 2 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان کامل طبی با 2 سال ضمانت","تشک یک نفره (جوان) کامل طبی رویال با 2 سال ضمانت.",taxable,1,50,4300000,,"تشک > یک نفره جوان,تشک > کامل طبی","تشک,یک نفره,جوان,طبی,رویال",,سایز,"200 × 90",نوع,"کامل طبی",گارانتی,"2 سال"
52,simple,ET-1200090114,"تشک یک نفره (جوان) 200 * 90 طبی فنری 14 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 14 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 14 سال ضمانت.",taxable,1,50,14300000,13600000,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"14 سال"
53,simple,ET-1200090112,"تشک یک نفره (جوان) 200 * 90 طبی فنری 12 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 12 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 12 سال ضمانت.",taxable,1,50,12800000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"12 سال"
54,simple,ET-1200090110,"تشک یک نفره (جوان) 200 * 90 طبی فنری 10 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 10 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 10 سال ضمانت.",taxable,1,50,11200000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"10 سال"
55,simple,ET-1200090108,"تشک یک نفره (جوان) 200 * 90 طبی فنری 8 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 8 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 8 سال ضمانت.",taxable,1,50,9200000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"8 سال"
56,simple,ET-1200090106,"تشک یک نفره (جوان) 200 * 90 طبی فنری 6 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 6 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 6 سال ضمانت.",taxable,1,50,8500000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"6 سال"
57,simple,ET-1200090105,"تشک یک نفره (جوان) 200 * 90 طبی فنری 5 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 5 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 5 سال ضمانت.",taxable,1,50,6300000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"5 سال"
58,simple,ET-1200090104,"تشک یک نفره (جوان) 200 * 90 طبی فنری 4 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 4 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 4 سال ضمانت.",taxable,1,50,5700000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"4 سال"
59,simple,ET-1200090103,"تشک یک نفره (جوان) 200 * 90 طبی فنری 3 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان طبی فنری با 3 سال ضمانت","تشک یک نفره (جوان) طبی فنری رویال با 3 سال ضمانت.",taxable,1,50,5300000,,"تشک > یک نفره جوان,تشک > طبی فنری","تشک,یک نفره,جوان,طبی فنری,رویال",,سایز,"200 × 90",نوع,"طبی فنری",گارانتی,"3 سال"
60,simple,ET-1200090102,"تشک یک نفره (جوان) 200 * 90 فنری 2 سال ضمانت رویال",1,0,visible,"تشک یک نفره جوان فنری با 2 سال ضمانت","تشک یک نفره (جوان) فنری رویال با 2 سال ضمانت.",taxable,1,50,4400000,,"تشک > یک نفره جوان,تشک > فنری","تشک,یک نفره,جوان,فنری,رویال",,سایز,"200 × 90",نوع,"فنری",گارانتی,"2 سال"
